q1,q2,q3,q4,q5,q6,qw,qx,qy,qz,wx,wy,wz
8.04289882199324e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-7.61948280535795e-21,1.0,1.2423606864316374e-09,2.267964818973565e-09,6.068108472306006e-12,4.400656388702091e-13,2.7618776071280437e-13,-2.187906418783092e-18
-3.004623867063568e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.2874752020933865e-20,1.0,1.2423618613038685e-09,2.267964214659628e-09,6.068108462070825e-12,1.9216602913895e-12,1.233054998934885e-12,1.3445421546719895e-17
-5.712951980966024e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-6.673602959586321e-20,1.0,1.2423615207828514e-09,2.267963573037969e-09,6.0681084581065905e-12,5.601177182589078e-13,-9.180639576377212e-13,3.037080690859052e-18
-4.916897395530237e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-7.193026544255964e-20,1.0,1.2423606641550032e-09,2.2679639750304602e-09,6.068108452007643e-12,-9.055329242592268e-13,-1.8310672972353732e-12,-1.1263979645093747e-17
-4.0127700916462604e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.0682468450385097e-19,1.0,1.2423608871226238e-09,2.26796438256889e-09,6.068108434528203e-12,4.400505259592858e-13,2.7614187380741714e-13,-2.135864714503786e-18
-6.462094037453231e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.67479498232075e-19,1.0,1.242361329162692e-09,2.2679633217644863e-09,6.068108419530566e-12,-9.055258604652328e-13,-1.8310676372411733e-12,-1.296747809850297e-17
-6.462094037453231e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.67479498232075e-19,1.0,1.2423617926452675e-09,2.267964579675591e-09,6.068108411625577e-12,1.921785482913314e-12,1.233024481679496e-12,6.589794369659557e-18
-5.015643222482052e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.435124593370276e-19,1.0,1.2423605883461735e-09,2.2679636765478444e-09,6.068108396520849e-12,-2.0538988405073445e-12,-6.863128046473764e-13,-5.532453280466371e-18
-2.3457348917589876e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.534820519689866e-19,1.0,1.2423608890526303e-09,2.2679643267195106e-09,6.068108379856855e-12,-9.054700995138212e-13,-1.8310526908637056e-12,2.759524934702769e-18
-5.866983433578541e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.8393148723153708e-19,1.0,1.242362226777732e-09,2.2679643301407623e-09,6.068108378725889e-12,1.92176309804158e-12,1.2330498988478645e-12,4.0709758825412354e-18
-2.853092037352566e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.0117519632242922e-19,1.0,1.2423601151629987e-09,2.2679642289563778e-09,6.0681083757395245e-12,-9.054353634109378e-13,-1.8310990426749845e-12,-7.163093347884566e-18
