Time_sec,Roll_deg,Pitch_deg,Yaw_deg
147.08,7.54525e-08,5.94382e-08,-40.3531
147.09,1.35207e-07,5.94534e-08,-40.4921
147.1,1.9496e-07,5.94673e-08,-40.631
147.11,2.54707e-07,5.94807e-08,-40.7699
147.12,3.14444e-07,5.94931e-08,-40.9087
147.13,3.74167e-07,5.95034e-08,-41.0476
147.14,4.33874e-07,5.9514e-08,-41.1863
147.15,4.9356e-07,5.95232e-08,-41.3251
147.16,5.53221e-07,5.95313e-08,-41.4638
147.17,6.12854e-07,5.95386e-08,-41.6025
147.18,6.72457e-07,5.95452e-08,-41.7412
147.19,7.32023e-07,5.95511e-08,-41.8798
147.2,7.91552e-07,5.95567e-08,-42.0184
147.21,8.51037e-07,5.95615e-08,-42.1569
147.22,9.10476e-07,5.95657e-08,-42.2954
147.23,9.69865e-07,5.95696e-08,-42.4339
147.24,1.0292e-06,5.95729e-08,-42.5724
147.25,1.08848e-06,5.9576e-08,-42.7108
147.26,1.14769e-06,5.95788e-08,-42.8492
147.27,1.20684e-06,5.95812e-08,-42.9875
147.28,1.26593e-06,5.95833e-08,-43.1258
147.29,1.32494e-06,5.9585e-08,-43.2641
147.3,1.38387e-06,5.95866e-08,-43.4023
147.31,1.44272e-06,5.95881e-08,-43.5405
147.32,1.50149e-06,5.95896e-08,-43.6786
147.33,1.56017e-06,5.9591e-08,-43.8167
147.34,1.61876e-06,5.95923e-08,-43.9548
147.35,1.67725e-06,5.95935e-08,-44.0929
147.36,1.73565e-06,5.95946e-08,-44.2309
147.37,1.79394e-06,5.95958e-08,-44.3688
147.38,1.85212e-06,5.95972e-08,-44.5068
147.39,1.91019e-06,5.95984e-08,-44.6446
147.4,1.96815e-06,5.96002e-08,-44.7825
147.41,2.02599e-06,5.96022e-08,-44.9203
147.42,2.08371e-06,5.96036e-08,-45.058
147.43,2.1413e-06,5.96055e-08,-45.1958
147.44,2.19876e-06,5.96078e-08,-45.3334
147.45,2.25608e-06,5.96099e-08,-45.4711
147.46,2.31327e-06,5.96123e-08,-45.6087
147.47,2.37031e-06,5.96151e-08,-45.7462
147.48,2.42721e-06,5.96181e-08,-45.8837
147.49,2.48396e-06,5.96217e-08,-46.0212
147.5,2.54056e-06,5.96253e-08,-46.1586
147.51,2.59699e-06,5.96296e-08,-46.296
147.52,2.65327e-06,5.96341e-08,-46.4333
147.53,2.70938e-06,5.96393e-08,-46.5706
147.54,2.76532e-06,5.96449e-08,-46.7079
147.55,2.82108e-06,5.96509e-08,-46.845
147.56,2.87667e-06,5.96574e-08,-46.9822
147.57,2.93207e-06,5.96634e-08,-47.1193
147.58,2.98729e-06,5.96626e-08,-47.2563
147.59,3.04232e-06,5.96556e-08,-47.3934
147.6,3.09715e-06,5.96453e-08,-47.5304
147.61,3.15179e-06,5.96334e-08,-47.6674
147.62,3.20623e-06,5.9621e-08,-47.8043
147.63,3.26045e-06,5.96095e-08,-47.9413
147.64,3.31447e-06,5.95991e-08,-48.0782
147.65,3.36829e-06,5.95931e-08,-48.2151
147.66,3.4219e-06,5.95826e-08,-48.352
147.67,3.47531e-06,5.95673e-08,-48.4889
147.68,3.52851e-06,5.95478e-08,-48.6258
147.69,3.5815e-06,5.95261e-08,-48.7626
147.7,3.63426e-06,5.95026e-08,-48.8995
147.71,3.68681e-06,5.94784e-08,-49.0364
147.72,3.73912e-06,5.94541e-08,-49.1734
147.73,3.79119e-06,5.94301e-08,-49.3103
147.74,3.84303e-06,5.94066e-08,-49.4472
147.75,3.89462e-06,5.93841e-08,-49.5842
147.76,3.94596e-06,5.93628e-08,-49.7212
147.77,3.99705e-06,5.93429e-08,-49.8582
147.78,4.04787e-06,5.93246e-08,-49.9952
147.79,4.0984e-06,5.9285e-08,-50.1322
147.8,4.14862e-06,5.91874e-08,-50.2692
147.81,4.19853e-06,5.9052e-08,-50.4063
